key_mlbam,key_retro,ERA
671096,abboa001,3.72
672851,adonj001,6.75
687924,aguij002,6.25
641302,alext001,5.1
663465,allak001,5.0
671106,allel003,5.64
656186,altad001,14.73
542881,andet002,3.81
542888,armss001,4.86
681293,arris001,4.53
668933,ashcg001,5.24
665871,assaj001,3.73
605135,bassc001,4.16
669358,baz-s001,3.06
678394,bellb002,4.49
678368,bellv001,3.67
621244,berrj001,3.6
676440,bibet001,3.47
674370,bidoo001,3.41
806185,birdh001,4.75
621389,blact002,6.94
696131,blacm001,6.44
621112,blacp001,4.66
687134,blalb001,5.87
669854,blanr001,2.76
571510,boydm001,2.28
671212,boylj001,6.42
674003,bradc003,3.54
680694,bradk001,2.75
671737,bradt002,4.11
689225,brieb001,3.42
676962,browb006,3.58
686613,browh001,3.43
621111,buehw001,5.08
669203,burnc002,2.85
621114,burrr002,4.31
676130,buttj001,2.89
665795,cabre003,4.95
656288,canng001,5.19
686563,cannj001,4.49
676282,cantj002,4.83
471911,carrc003,5.64
622491,castl003,3.64
656302,ceasd001,3.75
677944,ceccs001,6.66
650644,civaa001,4.28
543037,coleg001,3.12
571578,corbp001,5.62
641482,cortn001,3.83
676710,crawk001,4.36
681867,crisc002,4.08
676979,crocg001,3.58
669721,danid001,6.3
506433,darvy001,3.12
672282,detmr001,6.7
646242,diazj007,4.66
641540,dunnd001,5.31
621107,efliz001,3.56
693821,eldeb001,6.52
543135,eovan001,3.8
683155,estej001,5.01
663559,faltb001,4.43
607200,fedde001,3.3
663372,feltr001,4.49
701581,festd001,4.9
690916,fittr001,1.74
656427,flahj002,3.67
623167,flexc001,4.95
641585,franj006,7.46
670102,franb002,3.3
607536,freek001,5.24
608331,friem001,3.47
608334,fulmc001,4.15
668678,gallz001,3.65
592332,gausk001,3.83
502043,gibsk002,4.24
661563,gil-l001,3.66
669302,gilbl002,3.23
607192,glast001,3.49
596295,gomba001,4.75
594835,gonzm005,4.54
685299,gordt002,8.65
669022,gorem001,3.9
592351,grayj003,4.47
680686,grayj004,14.04
543243,grays001,3.84
668881,greeh001,2.75
669084,halld004,5.02
676106,hance001,4.75
663687,harrh002,2.86
690986,harrk001,4.56
571760,heana001,4.28
543294,hendk001,5.92
674072,henrt001,7.04
687792,herzd001,4.16
663855,hickj002,4.1
656550,holmg001,3.56
663947,holtt002,2.61
656557,houct001,3.12
605288,housa001,5.84
641712,hudsd002,6.17
684007,imans001,2.91
608344,irvic001,5.11
663623,irvij001,4.41
664299,javic001,3.89
683003,jonej008,4.14
656605,kellm003,4.25
518876,kellm002,4.03
678061,kerrr001,5.64
579328,kikuy001,4.05
650633,kingm002,3.01
669923,kirbg001,3.53
689017,knacl001,4.03
686799,kochj001,3.99
665152,kremd001,4.1
669461,libem001,4.4
641793,littz001,3.63
594902,liveb001,3.78
666157,lodon001,4.76
641154,lopep002,4.08
625643,loper003,1.99
547179,lorem002,3.32
607625,lugos001,3.0
666200,luzaj001,5.0
663738,lyncd001,3.32
458681,lynnl001,3.84
628317,maedk001,6.09
640455,manas001,3.59
666201,manoa001,3.7
679525,marsa001,4.53
663436,martd006,4.32
607259,martn002,3.1
805673,mattz001,6.69
571927,matzs001,5.08
800049,mazua001,7.49
663474,mcket001,5.11
656731,megit002,4.37
676974,meyem001,5.68
571945,mikom001,5.35
676272,millb005,8.52
682243,millb004,2.94
669062,mille002,3.88
663554,mizec001,4.49
593423,montf001,4.78
672456,montk001,4.62
656756,montj004,6.23
450203,mortc002,4.19
682610,munor001,6.53
605397,musgj001,3.83
668964,myert001,2.9
680897,nastn001,7.07
669194,nelsr003,4.24
605400,nolaa001,3.66
641927,oberb002,3.98
670124,ollea001,5.31
681857,olsor001,3.41
682847,ortil003,3.32
663978,paddc001,4.99
669467,palla001,3.78
680730,parkm001,4.29
572020,paxtj001,4.4
686752,pepir001,3.6
642547,peraf001,3.73
527048,perem004,4.53
656849,peted003,2.84
694297,pfaab001,4.71
663969,philt002,6.87
601713,piven001,4.19
547001,potec001,2.22
700249,povic001,5.2
682990,prieq001,4.71
615698,quanc001,4.98
500779,quinj001,3.7
666142,ragac001,3.03
607067,rea-c001,4.29
607074,rodoc001,4.11
593958,rodre004,5.04
680570,rodrg003,3.86
684320,rodry003,4.47
669432,roget003,4.92
605452,rossj002,3.69
657746,ryanj002,3.6
519242,salec001,2.38
650911,sancc002,3.33
663776,sandp002,5.08
453286,schem001,3.95
657376,schmc002,3.14
680885,schws001,3.35
681035,scotc001,4.56
676664,searj001,4.38
622663,sevel001,3.85
663903,singb001,3.7
694973,skenp001,1.96
669373,skubt001,2.39
605483,snelb001,3.12
667755,sorij002,3.42
647336,sorom001,4.74
687765,spenm001,4.58
686730,spiec001,5.46
657006,steej002,3.07
694813,stong001,3.53
548389,strir001,6.01
573186,strom001,4.31
544150,suara001,3.7
624133,suarr001,3.37
592791,tailj001,3.27
689672,thord001,5.48
605513,turns003,2.65
570632,urenj001,3.8
664285,valdf001,2.99
686973,varll001,7.61
681190,vasqr001,4.87
434378,verlj001,5.48
608379,wachm001,3.44
663362,waldm003,4.91
592836,walkt004,7.1
701542,warrw001,10.32
677960,weatr001,3.63
657277,webbl001,3.47
669713,wesnh001,3.86
554430,wheez001,2.48
676477,whitg002,1.96
696136,wickj001,5.48
668909,willg004,5.06
592866,willt002,2.03
669060,wilsb003,4.04
670174,wincj001,4.2
676775,winnk001,7.16
693433,woo-b001,2.89
680573,woods002,4.17
808967,yamay001,3.15
